genotype,sex,age,which_eye,quadrant,cell_type,animal_id,peak_FR,baseline_FR,min_spikes_ON,min_spikes_OFF,min_size_ON,min_size_OFF,peak_size_ON,peak_size_OFF,peak_spikes_ON,peak_spikes_OFF,half_peak_size,SI
WT,Female,20,Left,VT,ON alpha,DJID_1971,200,0,2,0,30,30,160,224,82.3333333333333,5.33333333333333,99.4593023255814,0.510703363914373
WT,Female,20,Left,VT,ON alpha,DJID_1971,166.666666666667,0,0,0,30,30,224,224,67.6666666666667,9,95.3356164383562,0.367003367003367
WT,Female,20,Left,VT,ON alpha,DJID_1971,100,0,0,0,30,30,160,160,37,7,91.2857142857143,0.298245614035088
WT,Female,20,Left,VT,ON alpha,DJID_1971,166.666666666667,0,0,0,30,30,160,314,62.6666666666667,8.33333333333333,92.3714285714286,0.372262773722628
WT,Female,20,Left,VT,ON alpha,DJID_1971,350,2.27778,13.5,1.5,30,42,314,614,145,10.3333333333333,82.6,0.0970996216897856
WT,Female,20,Left,VT,ON alpha,DJID_1971,266.666666666667,6.44444,9.66666666666667,4.33333333333333,30,59,314,314,97,17.6666666666667,138.171641791045,0.0698529411764706
WT,Female,20,Left,,ON alpha,DJID_1971,200,0.0416667,0,0,30,30,314,314,35.25,1.75,211.320754716981,0
WT,Female,20,Left,VN,ON alpha,DJID_1971,333.333333333333,2.77778,19.3333333333333,1,30,82,314,224,108,7.66666666666667,104.846153846154,0.314401622718053
WT,Female,20,Left,VT,ON alpha,DJID_1971,200,0.0555556,0,0,30,30,314,614,35.6666666666667,2.33333333333333,171.102040816327,0.0288461538461538
WT,Female,20,Left,VT,ON alpha,DJID_1971,333.333333333333,1.23611,7.33333333333333,0.666666666666667,30,59,224,314,115,8.25,94.5098039215686,0.308677098150782
WT,Female,20,Left,VT,ON alpha,DJID_1971,166.666666666667,0,0.333333333333333,0,30,30,314,439,38.3333333333333,2,184.888888888889,0.0900473933649289
WT,Female,20,Left,VT,ON alpha,DJID_1971,83.3333333333333,0.611111,1.66666666666667,0.166666666666667,30,30,858,858,25.5,1.5,197,0.0166112956810631
WT,Female,20,Left,VT,ON alpha,DJID_1971,333.333333333333,2,1.66666666666667,0.333333333333333,59,59,224,224,136.333333333333,12.6666666666667,130.407608695652,0.18722786647315
WT,Female,20,Left,VT,ON alpha,DJID_1971,200,1.94444,4.33333333333333,2,30,59,439,439,69,5.33333333333333,177.230769230769,0.0247524752475247
WT,Male,47.8571,Right,VN,ON alpha,DJID_1503,300,0,0,0,30,30,439,314,84.3333333333333,4.33333333333333,195.459459459459,0.0905172413793103
WT,Male,13.1429,Left,DT,ON alpha,DJID_2045,355.555555555556,6.96296,8,2.55555555555556,30,59,314,439,139.888888888889,14.5555555555556,127.820754716981,0.01902063941724
WT,Male,13.1429,Left,DT,ON alpha,DJID_2045,333.333333333333,0.925926,2.22222222222222,0.222222222222222,30,42,314,314,118.777777777778,7.88888888888889,157.543103448276,0.0470127326150832
WT,Male,13.1429,Left,DT,ON alpha,DJID_2045,333.333333333333,0.0555556,0,0,42,42,314,30,102,6.33333333333333,160,0.0774647887323944
WT,Male,14.4286,Left,DT,ON alpha,DJID_1969,533.333333333333,24.1667,7.33333333333333,0,30,30,224,314,180.333333333333,8.66666666666667,98.7334905660377,0.082
WT,Male,14.4286,Left,DT,ON alpha,DJID_1969,380,17.6639,3,0.5,30,59,224,224,165.8,7.6,109,0.226785053644099
WT,Male,14.4286,Left,DT,ON alpha,DJID_1969,433.333333333333,20.5556,14.3333333333333,0.666666666666667,30,42,224,1200,150,8.33333333333333,64.9915966386555,0.0650887573964497
WT,Male,14.4286,Left,DT,ON alpha,DJID_1969,333.333333333333,0.166667,0,0,30,30,224,224,76.3333333333333,1.33333333333333,125.953947368421,0.734848484848485
WT,Male,14.4286,Left,DT,ON alpha,DJID_1969,433.333333333333,1.66667,3.66666666666667,0,30,30,224,224,137.666666666667,3,109.758823529412,0.282608695652174
WT,Male,14.4286,Left,DT,ON alpha,DJID_1969,300,0,0,0,30,30,224,160,66.6666666666667,1.33333333333333,107.882352941176,0.869158878504673
WT,Male,14.4286,Left,DT,ON alpha,DJID_1969,433.333333333333,0.777778,0,0,42,30,224,224,119.666666666667,2.66666666666667,141.25,0.781637717121588
WT,Male,14.4286,Left,VT,ON alpha,DJID_1969,466.666666666667,11.9444,0.666666666666667,0,30,30,314,224,116,8.33333333333333,111.840425531915,0.137254901960784
WT,Male,14.4286,Left,DT,ON alpha,DJID_1969,300,0.777778,0.333333333333333,0,30,30,224,314,82,2,85.6219512195122,0.56687898089172
WT,Male,14.4286,Left,DT,ON alpha,DJID_1969,366.666666666667,1.83333,0,0,30,30,224,224,128,4.33333333333333,117.19512195122,0.381294964028777
WT,Male,14.4286,Left,DT,ON alpha,DJID_1969,466.666666666667,33,14.3333333333333,1.66666666666667,30,30,224,224,161.333333333333,13,99.0823529411765,0.187730061349693
WT,Male,14.4286,Left,VT,ON alpha,DJID_1969,466.666666666667,21,1.66666666666667,0,30,42,314,314,153.333333333333,8.66666666666667,129.083969465649,0.0490307867730901
WT,Female,17.8571,Left,DT,ON alpha,DJID_1970,366.666666666667,12.2222,23,4.33333333333333,30,82,160,160,155,26,68.0466666666667,0.149567367119901
WT,Female,17.8571,Left,DT,ON alpha,DJID_1970,366.666666666667,13.8889,29,8.33333333333333,30,30,224,314,195.666666666667,21.3333333333333,70.6223404255319,0.0800367985280589
WT,Female,17.8571,Left,VN,ON alpha,DJID_1970,300,0.722222,2.66666666666667,0,30,59,439,1200,127,11.6666666666667,105.195652173913,0.0200803212851406
WT,Female,17.8571,Right,DN,ON alpha,DJID_1970,400,0,0,0,30,30,1200,1200,101.666666666667,8,382.681318681319,0
WT,Female,17.8571,Right,DN,ON alpha,DJID_1970,533.333333333333,9.5,38,1.66666666666667,30,30,1200,439,206.666666666667,20.3333333333333,72.2424242424242,0
WT,Female,17.8571,Right,DN,ON alpha,DJID_1970,533.333333333333,19.4444,62.3333333333333,10.3333333333333,30,30,1200,439,244.666666666667,27.3333333333333,56.9150943396226,0
WT,Male,8,Left,VT,ON alpha,DJID_2023,500,0.125,0.4,0,30,30,439,439,116,6.4,126.373626373626,0.120772946859903
WT,Male,8,Left,VT,ON alpha,DJID_2023,500,0.166667,2.33333333333333,0,30,42,439,439,142.333333333333,7.66666666666667,146.590909090909,0.0810126582278481
WT,Male,8,Left,VT,ON alpha,DJID_2023,533.333333333333,0.0555556,0,0,30,30,614,439,139.333333333333,8,156.386861313869,0.0359355638166048
WT,Male,8,Right,DT,ON alpha,DJID_2023,466.666666666667,0.555556,14,0,30,30,314,224,133,12.3333333333333,85.9683544303797,0.138373751783167
WT,Male,8,Right,DT,ON alpha,DJID_2023,466.666666666667,7.66667,74.3333333333333,7,30,30,224,439,131,14.6666666666667,18.2222222222222,0.0328515111695138
WT,Male,8,Right,DN,ON alpha,DJID_2023,466.666666666667,0,0,0,30,30,439,439,163.333333333333,14.6666666666667,220.819875776398,0.378340365682138
WT,Male,8,Right,DN,ON alpha,DJID_2023,333.333333333333,0,0,0,30,30,224,314,86.6666666666667,8.66666666666667,148.157894736842,0.0337972166998012
WT,Male,8,Right,DN,ON alpha,DJID_2023,433.333333333333,0.166667,0,0,30,30,614,614,127,12.6666666666667,305.788321167883,0.280672268907563
WT,Unknown,6.8571,Right,DT,ON alpha,DJID_2036,380,6.7,7.75,3.5,30,30,314,439,159.6,13.2,96.7014218009479,0.0661322645290581
WT,Unknown,6.8571,Right,DT,ON alpha,DJID_2036,400,40.9444,59.3333333333333,16,30,1200,1200,42,191,36.3333333333333,40.171875,0
WT,Unknown,6.8571,Right,DT,ON alpha,DJID_2036,433.333333333333,7.66667,16,2.66666666666667,30,59,314,614,195.333333333333,17.6666666666667,88.1285714285714,0.0635208711433757
WT,Unknown,6.8571,Right,DT,ON alpha,DJID_2036,375,51,75.6,16.25,30,858,614,30,175.4,43.4,37.1176470588235,0.00573394495412844
WT,Unknown,6.8571,Right,DT,ON alpha,DJID_2036,360,53.8667,64.5,37.3333333333333,30,160,1200,858,156,60.3333333333333,56.3555555555556,0
WT,Unknown,7,Left,DT,ON alpha,DJID_2037,300,30.5833,11.6666666666667,4,59,59,614,42,139.666666666667,56,240.903553299492,0.132432432432432
WT,Unknown,7,Left,DT,ON alpha,DJID_2037,400,7.3,2,1,42,115,439,1200,186,157,202.503816793893,0.11044776119403
WT,Unknown,7,Left,DT,ON alpha,DJID_2037,200,0.861111,0,0,30,30,439,314,43.6666666666667,5.33333333333333,194.731481481481,0.408602150537634
WT,Male,6.4286,Left,DT,ON alpha,DJID_2038,266.666666666667,22.3333,37.8333333333333,18,30,30,224,858,127.333333333333,28.5,68.4190476190476,0.210776545166403
WT,Male,6.4286,Left,DT,ON alpha,DJID_2038,300,0,3.33333333333333,0,30,30,160,115,105.333333333333,9,72.1829268292683,0.717391304347826
WT,Male,6.4286,Left,DN,ON alpha,DJID_2038,233.333333333333,0,0,0,30,30,314,224,61.3333333333333,3.33333333333333,130,0.0952380952380953
WT,Male,6.4286,Left,DT,ON alpha,DJID_2038,233.333333333333,0.611111,1,0,30,42,160,224,94.6666666666667,9,73.1538461538462,0.958620689655172
WT,Male,6.4286,Left,DN,ON alpha,DJID_2038,333.333333333333,0.388889,2.33333333333333,0,30,30,439,858,136,12.6666666666667,122.941176470588,0.0953020134228188
WT,Male,6.4286,Left,DT,ON alpha,DJID_2038,300,15.0833,11.3333333333333,9.33333333333333,30,1200,160,439,126,24.3333333333333,90.7721518987342,0.726027397260274
WT,Male,6.4286,Left,DT,ON alpha,DJID_2038,333.333333333333,0.444444,26.6666666666667,0.333333333333333,30,30,160,160,139.333333333333,14.6666666666667,55.1363636363636,0.471830985915493
WT,Male,6.4286,Left,DT,ON alpha,DJID_2038,225,0.138889,11,0.25,30,30,224,224,109.75,10.5,76.1666666666667,0.409309791332263
WT,Male,6.4286,Left,DN,ON alpha,DJID_2038,266.666666666667,0,0,0,30,30,439,614,112.333333333333,9.66666666666667,175.015384615385,0.119601328903654
WT,Male,6.4286,Left,DT,ON alpha,DJID_2038,266.666666666667,1.72222,6.66666666666667,1,30,42,160,160,125,12,76.595,0.353790613718412
WT,Male,6.4286,Left,DT,ON alpha,DJID_2038,233.333333333333,5.16667,9.33333333333333,3.33333333333333,42,42,224,224,122.333333333333,16.3333333333333,86.0471698113207,0.447731755424063
WT,Male,6.4286,Left,DT,ON alpha,DJID_2038,233.333333333333,0,0.333333333333333,0,30,30,160,160,101.333333333333,11.3333333333333,84.5108695652174,0.472154963680387
WT,Male,6,Right,DT,ON alpha,DJID_2039,366.666666666667,10.7222,27.3333333333333,7,30,30,224,224,176.333333333333,17.6666666666667,82.7300884955752,0.124335812964931
WT,Male,6,Right,VT,ON alpha,DJID_2039,500,2.38889,14.3333333333333,0,30,82,314,1200,162.666666666667,11,106.391304347826,0.0349946977730647
WT,Male,6,Right,DT,ON alpha,DJID_2039,333.333333333333,1.11111,6,0.333333333333333,30,30,224,224,186,17,89.844262295082,0.119358074222668
WT,Male,6,Right,VT,ON alpha,DJID_2039,300,0.444444,2.66666666666667,0,30,30,224,224,131.333333333333,11.3333333333333,104.846153846154,0.163958641063516
WT,Male,6,Right,VT,ON alpha,DJID_2039,400,0.777778,1.33333333333333,0,30,42,314,858,114.333333333333,6.33333333333333,132.03125,0.022354694485842
WT,Male,6,Right,VT,ON alpha,DJID_2039,300,2.05556,1.66666666666667,0.666666666666667,30,160,1200,1200,105.666666666667,7.33333333333333,143.026315789474,0
WT,Male,6,Right,DN,ON alpha,DJID_2039,366.666666666667,7.61111,6.33333333333333,2.66666666666667,30,59,614,1200,144.333333333333,13,159.711538461538,0.0471584038694075
WT,Male,6,Right,DN,ON alpha,DJID_2039,400,0,1.66666666666667,0.333333333333333,30,30,314,439,168.333333333333,12,166.896551724138,0.0306122448979592
WT,Male,6,Right,DN,ON alpha,DJID_2039,400,0,0,0,30,30,314,858,178,15.6666666666667,167.111111111111,0.0018761726078799
WT,Male,6,Right,VT,ON alpha,DJID_2039,333.333333333333,0,0,0,30,30,224,224,108,7.33333333333333,94.4591836734694,0.193370165745856
WT,Male,6,Right,DT,ON alpha,DJID_2039,366.666666666667,3.33333,13,2.66666666666667,30,30,224,224,175,17,84.1521739130435,0.140065146579805
WT,Male,6,Right,VN,ON alpha,DJID_2039,333.333333333333,0,0,0,30,30,439,439,44,1.66666666666667,205.176470588235,0.0602409638554217
WT,Male,42.7143,Left,DT,ON alpha,DJID_65,500,0,2,0,30,30,314,314,167,17,98.9583333333333,0.117056856187291
WT,Male,42.7143,Left,DT,ON alpha,DJID_65,500,15.25,38.5,3,30,30,224,314,247,34,91.2205882352941,0.112612612612613
WT,Male,21.5714,Left,VT,ON alpha,DJID_1174,466.666666666667,0.291667,0.25,0,30,30,314,224,57,3.75,148.196721311475,0.305343511450382
WT,Male,21.5714,Left,VT,ON alpha,DJID_1174,466.666666666667,14.3333,7,7,42,42,314,858,75.3333333333333,25.6666666666667,134.137931034483,0.180156657963446
WT,Male,21.5714,Left,VT,ON alpha,DJID_1174,500,10.9722,9.33333333333333,8.25,42,82,314,314,82.25,17.75,143.401639344262,0.170818505338078
WT,Male,21.5714,Left,VT,ON alpha,DJID_1174,400,19.5,17.5,15,42,59,314,314,76.5,28,103.276315789474,0.181467181467181
WT,Male,21.5714,Left,VT,ON alpha,DJID_1174,566.666666666667,0.541667,4.33333333333333,0,30,30,314,858,122,32.6666666666667,129.70297029703,0.167464114832536
WT,Male,21.5714,Left,VT,ON alpha,DJID_1174,400,8.41667,7,5.5,30,59,314,1200,57.75,26.5,172.73786407767,0.115942028985507
WT,Male,21.5714,Left,VT,ON alpha,DJID_1174,250,21.375,19.75,18.5,115,115,314,439,43.75,27.25,170.666666666667,0.377952755905512
WT,Male,21.5714,Left,VT,ON alpha,DJID_1174,466.666666666667,7.47222,13.6666666666667,3,59,42,314,1200,93.3333333333333,29.6666666666667,167.214545454545,0.191489361702128
WT,Male,21.5714,Left,VT,ON alpha,DJID_1174,400,1.75,13,0.75,30,30,224,439,137,13.6666666666667,96.1,0.187861271676301
WT,Male,21.5714,Left,VT,ON alpha,DJID_1174,350,10.0316,10.1923076923077,7.96153846153846,42,42,314,1200,74.2692307692308,20.8518518518519,143.239350743782,0.182258302248325
WT,Male,21.5714,Left,VT,ON alpha,DJID_1174,347.826086956522,11.3982,10.5217391304348,8.91304347826087,42,42,314,1200,68.0434782608696,19.9130434782609,151.621483375959,0.201996927803379
WT,Male,21.5714,Left,VT,ON alpha,DJID_1174,500,5.45455,14,0,59,30,224,224,83,26,171.921568627451,0.349593495934959
WT,Male,39.4286,Left,VT,ON alpha,DJID_1197,500,0,0,0,30,30,314,439,131.5,12,117.763157894737,0.198177676537585
WT,Male,39.4286,Left,VT,ON alpha,DJID_1197,500,0,0,0,30,30,314,858,171.666666666667,23,108.871428571429,0.0992529348986126
WT,Female,44.5714,Right,VN,ON alpha,DJID_1234,500,1.44444,20.3333333333333,2.33333333333333,30,30,614,439,167.333333333333,30.3333333333333,97.7826086956522,0.04474505723205
WT,Female,19.7143,Left,VT,ON alpha,DJID_1563,533.333333333333,8.38889,75.3333333333333,6.66666666666667,30,42,314,439,212.333333333333,93.6666666666667,58.6136363636364,0.0732940185341196
WT,Female,19.7143,Left,VT,ON alpha,DJID_1563,466.666666666667,11.0556,30.6666666666667,1,30,30,439,314,171,16,73.6145833333333,0.0374115267947422
WT,Female,19.7143,Right,DT,ON alpha,DJID_1563,433.333333333333,0,0,0,30,30,314,439,154.666666666667,11,179.620437956204,0.0917647058823529
WT,Female,19.7143,Right,DT,ON alpha,DJID_1563,300,0.111111,0,0,30,30,614,858,147.333333333333,24,146.37323943662,0.0424528301886792
WT,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0
WT,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0
WT,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0
WT,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0
WT,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0
WT,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0
WT,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0
WT,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0
WT,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0
WT,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0
WT,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0
WT,Male,20,Left,VN,ON alpha,DJID_1275,433.333333333333,6.5,0.5,0,30,82,614,224,133.666666666667,17.3333333333333,332.533653846154,0.131170662905501
WT,Male,13.7143,Right,VN,ON alpha,DJID_1751,333.333333333333,0,0,0,30,30,439,858,142,58.3333333333333,143.421052631579,0.417637271214642
