genotype,sex,age,which_eye,quadrant,cell_type,animal_id,peak_FR,baseline_FR,spot_sizes,spikes_stim_mean,spikes_stim_sem,spikes_tail_mean,spikes_tail_sem,min_spikes_ON,min_spikes_OFF,min_size_ON,min_size_OFF,peak_size_ON,peak_size_OFF,peak_spikes_ON,peak_spikes_OFF,half_peak_size,SI
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,20.5714,Right,DT,OFF transient small RF,DJID_1640,266.666666666667,3.72222,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0.66666666666666663,0.66666666666666663,0,0,0,0,0,0,0,0.33333333333333331,0,0]","[0.816496580927726,0.816496580927726,0,0,0,0,0,0,0,0.408248290463863,0,0]","[3,8,22,30,32.666666666666664,20.333333333333332,5.333333333333333,2.3333333333333335,2.6666666666666665,3.3333333333333335,2.6666666666666665,3.6666666666666665]","[2.5495097567963922,6.0415229867972853,15.921683328090655,18.5876302954411,20.449123860612378,12.576432986608987,3.5590260840104375,1.4719601443879746,1.6329931618554521,1.4719601443879746,1.6329931618554521,2.4832774042918895]",0,2.33333333333333,59,314,30,115,0.666666666666667,32.6666666666667,59,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,20.5714,Right,DT,OFF transient small RF,DJID_1640,233.333333333333,0.833333,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0]","[1.3333333333333333,2.6666666666666665,7,9,13,13.666666666666666,8,5.333333333333333,4.666666666666667,2.6666666666666665,1,1.6666666666666667]","[0.40824829046386296,1.4719601443879746,0.70710678118654746,1.2247448713915889,2.5495097567963922,1.0801234497346435,0.70710678118654746,0.408248290463863,0.408248290463863,1.7795130420052188,0.70710678118654746,1.0801234497346432]",0,1,30,858,30,160,0,13.6666666666667,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Female,45.8571,Right,VT,OFF transient small RF,DJID_1744,233.333333333333,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,1.6666666666666667,0,0.33333333333333331,0,0,0,0,0,0,0]","[0,0,0.816496580927726,0,0.408248290463863,0,0,0,0,0,0,0]","[0,0,0,0,0.33333333333333331,5.666666666666667,15.333333333333334,10,6.666666666666667,10,7.666666666666667,9.6666666666666661]","[0,0,0,0,0.408248290463863,0.816496580927726,2.6770630673681683,0.70710678118654746,3.3416562759605695,1.2247448713915889,1.0801234497346432,3.8944404818493075]",0,0,30,30,59,224,1.66666666666667,15.3333333333333,NaN,NaN
Trarg1(Tusc5-eGFP/WT),Male,20.8571,Left,VN,OFF transient small RF,DJID_3110,33.3333333333333,0,"[30,136,243,349,455,562,668,775,881,987,1094,1200]","[0,0,0,0,0,0,1.6666666666666667,0,0,0.66666666666666663,0,0.66666666666666663]","[0,0,0,0,0,0,2.0412414523193148,0,0,0.816496580927726,0,0.816496580927726]","[0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0]",0,0,30,30,668,30,1.66666666666667,0,NaN,NaN
WT,Female,24.7143,Left,DN,OFF transient small RF,DJID_3068,266.666666666667,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,0,0,0,0,1.3333333333333333,0.66666666666666663,0.66666666666666663,0,1.3333333333333333,1.6666666666666667]","[0,0,0,0,0,0,1.6329931618554521,0.816496580927726,0.816496580927726,0,0.816496580927726,2.0412414523193148]","[0,0,0,0,0,4,6.666666666666667,9.6666666666666661,7,7.333333333333333,2.6666666666666665,3]","[0,0,0,0,0,2.1213203435596424,2.0412414523193148,0.816496580927726,2.1213203435596424,1.0801234497346432,1.7795130420052188,2.1213203435596424]",0,0,30,30,1200,314,1.66666666666667,9.66666666666667,NaN,NaN
WT,Male,22.7143,Left,VT,OFF transient small RF,DJID_3149,233.333333333333,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,9,14.666666666666666,15,15,11.666666666666666,7.666666666666667,3.6666666666666665,0,0]","[0,0,0,0.70710678118654746,2.6770630673681683,0.70710678118654746,1.4142135623730949,0.816496580927726,1.6329931618554518,0.81649658092772592,0,0]",0,0,30,30,30,160,0,15,NaN,NaN
WT,Female,81.2857,Left,DN,OFF transient small RF,DJID_2101,100,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0]","[0.66666666666666663,12.666666666666666,15.666666666666666,17,18,14.666666666666666,10.333333333333334,3,1.6666666666666667,2.3333333333333335,0.33333333333333331,0.33333333333333331]","[0.408248290463863,3.62859017617954,2.1602468994692865,0.70710678118654746,3.6742346141747668,0.816496580927726,6.3770421565696633,1.8708286933869707,1.0801234497346435,2.2730302828309759,0.408248290463863,0.408248290463863]",0,0.333333333333333,30,858,30,115,0,18,NaN,NaN
WT,Female,81.2857,Left,DN,OFF transient small RF,DJID_2101,200,11.6806,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[3.3333333333333335,3,1,0.5,0,7,0,0,1.25,1.5,0,0]","[2.1602468994692869,2.7487370837451071,1.2247448713915889,0.57735026918962584,0,8.5732140997411221,0,0,0.86602540378443871,1.3743685418725535,0,0]","[28,32.5,42,42.5,50.5,43,30.75,23,16.5,16.5,12.75,15]","[1.8708286933869707,2.7688746209726913,8.831760866327846,2.9249881291307078,1.1055415967851334,3.6742346141747668,3.6930866343600566,3.6209268304000721,1.1055415967851334,3.7859388972001824,1.2801909579781015,0.81649658092772615]",0,12.75,115,858,160,115,7,50.5,115,NaN
WT,Female,81.2857,Right,DN,OFF transient small RF,DJID_2101,366.666666666667,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,0,9.6666666666666661,5.666666666666667,0,0,0,0,3,0,0.66666666666666663]","[0,0,0,0.816496580927726,5.2121652570372961,0,0,0,0,1.8708286933869707,0,0.816496580927726]","[0,0,3.3333333333333335,5.333333333333333,17.666666666666668,28.666666666666668,23.666666666666668,17.666666666666668,10,6,0,1]","[0,0,4.0824829046386295,4.320493798938573,6.5319726474218074,1.4719601443879746,0.408248290463863,1.4719601443879746,1.8708286933869707,2.82842712474619,0,1.2247448713915889]",0,0,30,30,82,160,9.66666666666667,28.6666666666667,NaN,NaN
WT,Female,81.2857,Right,DT,OFF transient small RF,DJID_2101,133.333333333333,0.666667,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,0,0,0.33333333333333331,0,0.33333333333333331,0,0,0,1.6666666666666667,2.6666666666666665]","[0,0,0,0,0.408248290463863,0,0.408248290463863,0,0,0,2.0412414523193148,1.7795130420052188]","[0,0.66666666666666663,2.3333333333333335,5.666666666666667,7,12.333333333333334,9.6666666666666661,5,3.6666666666666665,2.6666666666666665,2.6666666666666665,2]","[0,0.816496580927726,2.857738033247041,1.7795130420052183,5.3385391260156556,3.62859017617954,2.0412414523193148,1.2247448713915889,2.2730302828309759,3.2659863237109041,3.2659863237109041,1.2247448713915889]",0,0,30,30,1200,160,2.66666666666667,12.3333333333333,NaN,NaN
WT,Female,81.2857,Right,DT,OFF transient small RF,DJID_2101,333.333333333333,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,0,6.333333333333333,16.333333333333332,14.666666666666666,2,9.6666666666666661,21.333333333333332,12,12.666666666666666,13.666666666666666]","[0,0,0,3.8944404818493075,4.2622372841814729,6.0138728508895705,2.4494897427831779,3.5590260840104366,0.81649658092772592,1.2247448713915889,1.4719601443879746,1.4719601443879744]","[0,0,0,11,20.666666666666668,25,27.333333333333332,17.666666666666668,8.3333333333333339,5.333333333333333,0,1.6666666666666667]","[0,0,0,5.7879184513951127,6.1779176642835463,4.6368092477478511,2.2730302828309759,1.7795130420052188,1.7795130420052183,3.3416562759605704,0,0.816496580927726]",0,0,30,30,439,224,21.3333333333333,27.3333333333333,NaN,NaN
WT,Female,81.2857,Right,DN,OFF transient small RF,DJID_2101,333.333333333333,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0]","[11,25,35.666666666666664,52,58.666666666666664,50,40.666666666666664,37,29.333333333333332,14,4,1]","[0.70710678118654746,1.2247448713915889,1.0801234497346432,1.8708286933869707,0.816496580927726,0.70710678118654746,2.4832774042918895,0.70710678118654746,1.0801234497346432,0.70710678118654746,2.5495097567963922,1.2247448713915889]",0,1,30,1200,30,115,0,58.6666666666667,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Female,13.5714,Left,VT,OFF transient small RF,DJID_2257,400,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0.33333333333333331,0,0,0,2.3333333333333335,0,5.666666666666667,6,4.666666666666667,6.666666666666667,5.333333333333333]","[0,0.408248290463863,0,0,0,2.857738033247041,0,3.8944404818493075,4.6368092477478511,3.1885210782848317,1.0801234497346432,1.0801234497346432]","[0,0,0,8.6666666666666661,19,28.666666666666668,34,32.666666666666664,24.333333333333332,19.333333333333332,15.666666666666666,8.6666666666666661]","[0,0,0,1.4719601443879746,1.2247448713915889,5.6715665090578522,3.2403703492039297,0.408248290463863,2.48327740429189,0.81649658092772592,2.0412414523193148,4.4907311951024926]",0,0,30,30,858,224,6.66666666666667,34,NaN,NaN
